PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Emb,sClass
2,1,1,38,1,0,71.2833,1,1
4,1,1,35,1,0,53.1,1,1
5,0,3,35,0,0,8.05,0,1
6,0,3,,0,0,8.4583,0,1
7,0,1,54,0,0,51.8625,0,1
9,1,3,27,0,2,11.1333,1,1
11,1,3,4,1,1,16.7,1,1
12,1,1,58,0,0,26.55,1,1
13,0,3,20,0,0,8.05,0,1
14,0,3,39,1,5,31.275,0,1
15,0,3,14,0,0,7.8542,1,1
18,1,2,,0,0,13,0,1
19,0,3,31,1,0,18,1,1
20,1,3,,0,0,7.225,1,1
21,0,2,35,0,0,26,0,1
22,1,2,34,0,0,13,0,1
24,1,1,28,0,0,35.5,0,1
25,0,3,8,3,1,21.075,1,1
26,1,3,38,1,5,31.3875,1,1
27,0,3,,0,0,7.225,0,1
28,0,1,19,3,2,263,0,1
29,1,3,,0,0,7.8792,1,1
30,0,3,,0,0,7.8958,0,1
31,0,1,40,0,0,27.7208,0,0
32,1,1,,1,0,146.5208,1,1
35,0,1,28,1,0,82.1708,0,1
41,0,3,40,1,0,9.475,1,1
43,0,3,,0,0,7.8958,0,1
45,1,3,19,0,0,7.8792,1,1
46,0,3,,0,0,8.05,0,1
48,1,3,,0,0,7.75,1,0
49,0,3,,2,0,21.6792,0,1
50,0,3,18,1,0,17.8,1,1
53,1,1,49,1,0,76.7292,1,1
54,1,2,29,1,0,26,1,1
55,0,1,65,0,1,61.9792,0,1
56,1,1,,0,0,35.5,0,1
57,1,2,21,0,0,10.5,1,1
58,0,3,28.5,0,0,7.2292,0,1
59,1,2,5,1,2,27.75,1,1
60,0,3,11,5,2,46.9,0,0
61,0,3,22,0,0,7.2292,0,1
62,1,1,38,0,0,80,1,1
63,0,1,45,1,0,83.475,0,1
66,1,3,,1,1,15.2458,0,0
68,0,3,19,0,0,8.1583,0,1
69,1,3,17,4,2,7.925,1,1
70,0,3,26,2,0,8.6625,0,1
71,0,2,32,0,0,10.5,0,1
72,0,3,16,5,2,46.9,1,1
75,1,3,32,0,0,56.4958,0,1
76,0,3,25,0,0,7.65,0,1
77,0,3,,0,0,7.8958,0,1
79,1,2,0.83,0,2,29,0,0
80,1,3,30,0,0,12.475,1,1
81,0,3,22,0,0,9,0,1
82,1,3,29,0,0,9.5,0,1
83,1,3,,0,0,7.7875,1,1
85,1,2,17,0,0,10.5,1,1
86,1,3,33,3,0,15.85,1,1
87,0,3,16,1,3,34.375,0,1
88,0,3,,0,0,8.05,0,1
89,1,1,23,3,2,263,1,1
90,0,3,24,0,0,8.05,0,1
91,0,3,29,0,0,8.05,0,1
93,0,1,46,1,0,61.175,0,1
94,0,3,26,1,2,20.575,0,1
97,0,1,71,0,0,34.6542,0,1
98,1,1,23,0,1,63.3583,0,1
99,1,2,34,0,1,23,1,1
100,0,2,34,1,0,26,0,1
101,0,3,28,0,0,7.8958,1,1
102,0,3,,0,0,7.8958,0,1
104,0,3,33,0,0,8.6542,0,1
106,0,3,28,0,0,7.8958,0,1
107,1,3,21,0,0,7.65,1,1
110,1,3,,1,0,24.15,1,1
112,0,3,14.5,1,0,14.4542,1,1
115,0,3,17,0,0,14.4583,1,1
116,0,3,21,0,0,7.925,0,1
117,0,3,70.5,0,0,7.75,0,1
118,0,2,29,1,0,21,0,1
119,0,1,24,0,1,247.5208,0,1
120,0,3,2,4,2,31.275,1,1
122,0,3,,0,0,8.05,0,1
124,1,2,32.5,0,0,13,1,1
125,0,1,54,0,1,77.2875,0,1
126,1,3,12,1,0,11.2417,0,0
127,0,3,,0,0,7.75,0,1
128,1,3,24,0,0,7.1417,0,1
129,1,3,,1,1,22.3583,1,1
130,0,3,45,0,0,6.975,0,1
131,0,3,33,0,0,7.8958,0,0
132,0,3,20,0,0,7.05,0,1
133,0,3,47,1,0,14.5,1,1
134,1,2,29,1,0,26,1,1
137,1,1,19,0,2,26.2833,1,1
138,0,1,37,1,0,53.1,0,1
139,0,3,16,0,0,9.2167,0,1
142,1,3,22,0,0,7.75,1,1
144,0,3,19,0,0,6.75,0,1
145,0,2,18,0,0,11.5,0,1
148,0,3,9,2,2,34.375,1,1
150,0,2,42,0,0,13,0,0
152,1,1,22,1,0,66.6,1,1
156,0,1,51,0,1,61.3792,0,1
157,1,3,16,0,0,7.7333,1,1
161,0,3,44,0,1,16.1,0,1
162,1,2,40,0,0,15.75,1,1
163,0,3,26,0,0,7.775,0,1
165,0,3,1,4,1,39.6875,0,0
166,1,3,9,0,2,20.525,0,0
167,1,1,,0,1,55,1,1
170,0,3,28,0,0,56.4958,0,1
171,0,1,61,0,0,33.5,0,1
172,0,3,4,4,1,29.125,0,0
174,0,3,21,0,0,7.925,0,1
176,0,3,18,1,1,7.8542,0,1
177,0,3,,3,1,25.4667,0,0
178,0,1,50,0,0,28.7125,1,1
179,0,2,30,0,0,13,0,1
180,0,3,36,0,0,0,0,1
181,0,3,,8,2,69.55,1,1
183,0,3,9,4,2,31.3875,0,0
184,1,2,1,2,1,39,0,0
185,1,3,4,0,2,22.025,1,1
186,0,1,,0,0,50,0,1
187,1,3,,1,0,15.5,1,1
188,1,1,45,0,0,26.55,0,1
191,1,2,32,0,0,13,1,1
192,0,2,19,0,0,13,0,1
193,1,3,19,1,0,7.8542,1,1
195,1,1,44,0,0,27.7208,1,1
196,1,1,58,0,0,146.5208,1,1
199,1,3,,0,0,7.75,1,1
200,0,2,24,0,0,13,1,1
201,0,3,28,0,0,9.5,0,1
202,0,3,,8,2,69.55,0,1
203,0,3,34,0,0,6.4958,0,1
204,0,3,45.5,0,0,7.225,0,1
205,1,3,18,0,0,8.05,0,1
206,0,3,2,0,1,10.4625,1,1
207,0,3,32,1,0,15.85,0,1
209,1,3,16,0,0,7.75,1,1
210,1,1,40,0,0,31,0,1
211,0,3,24,0,0,7.05,0,1
212,1,2,35,0,0,21,1,1
214,0,2,30,0,0,13,0,1
215,0,3,,1,0,7.75,0,1
217,1,3,27,0,0,7.925,1,1
218,0,2,42,1,0,27,0,1
219,1,1,32,0,0,76.2917,1,1
220,0,2,30,0,0,10.5,0,1
222,0,2,27,0,0,13,0,1
223,0,3,51,0,0,8.05,0,1
224,0,3,,0,0,7.8958,0,1
226,0,3,22,0,0,9.35,0,1
227,1,2,19,0,0,10.5,0,1
229,0,2,18,0,0,13,0,1
231,1,1,35,1,0,83.475,1,1
233,0,2,59,0,0,13.5,0,1
234,1,3,5,4,2,31.3875,1,1
235,0,2,24,0,0,10.5,0,1
236,0,3,,0,0,7.55,1,1
237,0,2,44,1,0,26,0,1
238,1,2,8,0,2,26.25,1,0
239,0,2,19,0,0,10.5,0,1
240,0,2,33,0,0,12.275,0,1
241,0,3,,1,0,14.4542,1,1
242,1,3,,1,0,15.5,1,1
245,0,3,30,0,0,7.225,0,1
246,0,1,44,2,0,90,0,0
247,0,3,25,0,0,7.775,1,1
248,1,2,24,0,2,14.5,1,1
249,1,1,37,1,1,52.5542,0,1
251,0,3,,0,0,7.25,0,1
252,0,3,29,1,1,10.4625,1,1
254,0,3,30,1,0,16.1,0,1
255,0,3,41,0,2,20.2125,1,1
256,1,3,29,0,2,15.2458,1,1
258,1,1,30,0,0,86.5,1,1
260,1,2,50,0,1,26,1,1
261,0,3,,0,0,7.75,0,1
262,1,3,3,4,2,31.3875,0,0
263,0,1,52,1,1,79.65,0,1
264,0,1,40,0,0,0,0,1
265,0,3,,0,0,7.75,1,1
266,0,2,36,0,0,10.5,0,1
267,0,3,16,4,1,39.6875,0,1
268,1,3,25,1,0,7.775,0,1
269,1,1,58,0,1,153.4625,1,1
270,1,1,35,0,0,135.6333,1,1
271,0,1,,0,0,31,0,1
272,1,3,25,0,0,0,0,1
273,1,2,41,0,1,19.5,1,1
274,0,1,37,0,1,29.7,0,1
275,1,3,,0,0,7.75,1,1
276,1,1,63,1,0,77.9583,1,1
278,0,2,,0,0,0,0,1
279,0,3,7,4,1,29.125,0,0
280,1,3,35,1,1,20.25,1,1
281,0,3,65,0,0,7.75,0,1
282,0,3,28,0,0,7.8542,0,1
285,0,1,,0,0,26,0,1
287,1,3,30,0,0,9.5,0,1
288,0,3,22,0,0,7.8958,0,1
289,1,2,42,0,0,13,0,1
290,1,3,22,0,0,7.75,1,1
291,1,1,26,0,0,78.85,1,1
292,1,1,19,1,0,91.0792,1,1
293,0,2,36,0,0,12.875,0,1
294,0,3,24,0,0,8.85,1,1
296,0,1,,0,0,27.7208,0,1
297,0,3,23.5,0,0,7.2292,0,1
298,0,1,2,1,2,151.55,1,1
299,1,1,,0,0,30.5,0,1
302,1,3,,2,0,23.25,0,1
303,0,3,19,0,0,0,0,1
304,1,2,,0,0,12.35,1,1
